amf_no,pl_no,amf_ra,amf_dec,pl_ra,pl_dec,amf_z,pl_z,amf_rh,pl_sn,pl_msz
84,752,178.4559,42.8662,178.4833022197373,42.859961661673005,0.3302,0.33314458,125.0346,4.8104059999999995,4.4197793
88,963,150.5779,20.4701,150.62970422675025,20.528271158463575,0.3164,0.3205,122.1531,4.500935,4.7085867
89,691,24.3381,7.8915,24.34177905909954,7.87538600582144,0.3719,0.3652,122.0121,4.7211547,5.9895716
92,163,306.3152,0.525,306.28120573811816,0.5188418500982125,0.3254,0.2746,121.7792,6.5859585,5.65164
95,225,323.8174,1.4132,323.8259983544232,1.4104545372692232,0.2741,0.231,120.8838,9.53946,6.7316947
96,495,354.6681,27.1759,354.5042922173156,27.081758017580967,0.0641,0.0309,120.6856,7.149729300000001,1.5119333000000001
97,312,4.7465,-20.3422,4.763519756928663,-20.420161971184665,0.28600000000000003,0.2773,120.5234,7.537942,5.607659
98,1520,201.7618,2.2119999999999997,201.74777453246844,2.2118505462504316,0.2583,0.259,120.4047,8.568361999999999,6.424766
101,222,234.9225,34.4216,234.90178430164653,34.43134563948542,0.2284,0.22899999999999998,119.6862,8.397364999999999,5.7279587
102,731,168.7957,53.3454,168.79523985227132,53.32753917072317,0.4666,0.47,119.4577,8.584414,7.552688000000001
104,619,189.2712,63.2056,189.225082555228,63.18429938830142,0.3022,0.3019,119.4359,11.362003999999999,6.551286
106,553,198.7957,51.8164,198.76583341561852,51.832863366205814,0.2822,0.2836,118.1009,11.1058035,6.7613125
109,893,69.2872,0.7345,69.30034165747578,0.7271490732417888,0.3096,0.2842,117.3068,5.4367849999999995,5.56195
111,984,137.3081,11.0201,137.28806478390334,10.98521365608162,0.1657,0.1751,116.985,8.429953999999999,5.4182057
116,626,16.0429,25.0514,16.07835885375033,25.14501081372084,0.2631,0.16614722,115.1596,4.8968186,3.8364162000000004
117,332,330.2229,20.9783,330.22805280814487,20.970077544146854,0.1765,0.147,114.9012,11.068873,5.0615773
118,251,329.0535,1.396,329.03827144832434,1.4209953869686989,0.23800000000000002,0.22399999999999998,114.8161,6.7698789999999995,4.9910016
120,972,124.2728,7.8948,124.28629455338863,7.869101381248308,0.3024,0.24918762,114.3455,6.5462003,5.194909
123,942,142.0201,20.5188,142.00061107826588,20.563807478336336,0.2241,0.192,113.1586,4.8425970000000005,3.8172061
125,292,338.9182,1.5276,338.92683528443433,1.449435655593887,0.0898,0.0594,112.3506,5.557029,1.9290441999999999
129,918,117.73899999999999,17.6604,117.72709796788843,17.643324228309282,0.1862,0.18401514,111.6804,5.2818303,3.520769
130,450,223.2428,58.0482,223.24877482118615,58.036577372238824,0.3261,0.3179,111.6371,7.375112,4.9242787
131,391,354.4173,0.2767,354.4318766155165,0.2682359490124721,0.2799,0.2779,111.0826,11.18705,7.3293004
133,46,240.8281,3.2808,240.85614198925373,3.3223744257506964,0.2547,0.2222,110.7829,5.201460400000001,4.725768599999999
136,899,142.7165,28.8484,142.71176084898718,28.847619904172202,0.2948,0.29946157,110.42,6.2654595,5.5549397
139,523,4.9043,3.6213,4.894937597640887,3.5964757075454705,0.3098,0.267,110.0996,7.6256742,6.2161384
142,622,16.0623,29.5597,16.013593278862288,29.61721742622432,0.3481,0.3579678,109.6748,4.978256,5.450940599999999
